,WMA value,OBV Value,VPT Value,Adj Close
1232,2894.9,,,
1233,2895.74,,,
1234,2896.81,,,
1235,2897.95,,,
1236,2899.07,,,
1237,2900.14,,,
1238,2901.18,,,
1239,2902.3,,,
1240,2903.53,,,
1241,2904.82,,,
1242,2906.1,,,
1243,2907.35,,,
1244,2908.46,,,
1245,2909.47,,,
1246,2910.46,,,
1247,2911.53,,,
1248,2912.7,,,
1249,2913.93,,,
1250,2915.25,,,
1251,2916.67,,,
1252,2918.18,,,
1253,2919.65,,,
1254,2921.13,,,
1255,2922.59,,,
1256,2923.73,,,
1257,2924.86,,,
1258,2926.05,,,
1259,2927.3,,,
1260,2928.69,,,
1261,2930.03,,,
1262,2931.24,,,
1263,2932.21,,,
1264,2933.04,,,
1265,2933.85,,,
1266,2934.69,,,
1267,2935.59,,,
1268,2936.51,,,
1269,2937.34,,,
1270,2937.97,,,
1271,2938.49,,,
1272,2939.02,,,
1273,2939.56,,,
1274,2940.21,,,
1275,2940.91,,,
1276,2941.47,,,
1277,2941.93,,,
1278,2942.33,,,
1279,2942.7,,,
1280,2943.02,,,
1281,2943.27,,,
1282,2943.46,,,
1283,2943.69,,,
1284,2943.89,,,
1285,2944.11,,,
1286,2944.56,,,
1287,2944.96,,,
1288,2945.27,,,
1289,2945.38,,,
1290,2945.29,,,
1291,2945.13,,,
1292,2944.95,,,
1293,2944.74,,,
1294,2944.55,,,
1295,2944.32,,,
1296,2944.04,,,
1297,2943.65,,,
1298,2943.15,,,
1299,2942.64,,,
1300,2942.16,,,
1301,2941.71,,,
1302,2941.27,,,
1303,2940.87,,,
1304,2940.44,,,
1305,2940.07,,,
1306,2939.75,,,
1307,2939.48,,,
1308,2939.27,,,
1309,2939.06,,,
1310,2938.89,,,
1311,2938.72,,,
1312,2938.51,,,
1313,2938.35,,,
1314,2938.41,,,
1315,2938.55,,,
1316,2938.88,,,
1317,2939.27,,,
1318,2939.72,,,
1319,2940.21,,,
1320,2940.8,,,
1321,2941.48,,,
1322,2942.23,,,
